                        令和７年度以降入学者,令和２年度以降入学者,教員名,単位数,学年,開講区分,科目群,学期,履修区分,授業形態,授業の形態,授業概要,授業のねらい・到達目標,授業の形式,授業の方法,履修条件,教科書,参考書,成績評価の方法及び基準,オフィスアワー,授業計画
美術史,美術史,伊藤已令,2,1～4,文理学部,総合教育科目,前期,選択,対面授業,,本講義では、西洋美術史を社会や技術との関わりから考える。古代から19世紀までの美術を取り上げ、宗教や国家、都市、経済といった社会的背景や、建築技術や制作技法の発展が、美術の主題や表現のあり方にどのように関わってきたかを見ていく。あわせて、比例理論や遠近法など、当時の知のあり方にも触れながら、美術作品を個人の表現としてだけでなく、社会の中で共有されてきた視覚表現として理解することを目指す。,"(1)西洋美術史の主要な時代・様式・作家を概観し、社会的・政治的・宗教的背景との関わりを説明できる。A1,A2",講義,授業計画にしたがって各回レジュメを配布し、作品を投影しながら内容を説明する。授業のふりかえりのために毎回課題を実施する。課題については、翌週の冒頭で解説・講評を行う。授業中の発言、課題によって授業参画度を測る。,CHIPSによる抽選を行う,使用しない,高階秀爾監修 『『西洋美術史』』 美術出版社 1990年,試験(50%)、授業参画度:課題、発言(50%),授業後、教室にて質問を受け付ける,"シラバスに基づき授業内容を説明する。美術史とは何か／個人表現と社会・技術の関係／前期の学習目標など,古代ギリシャの美術 都市国家・宗教と美術、人間の理想と比例・秩序,古代ローマ 建築技術と公共建築／私邸装飾のモザイク・フレスコ,中世キリスト教 神学的世界観の反映としての建築・装飾／教育的機能としての美術,ルネサンス 人文主義・都市国家・パトロン／遠近法・比例・解剖学の技術／美術の社会的機能と制作体制,マニエリスム 政治的・宗教的混乱／北ヨーロッパと地中海の緊張／古典価値の揺らぎと奇想的発想,版画と美術 複製技術の発明と展開／版画の影響,イタリアバロック カトリック教会の勝利の演出／大規模プロジェクト／光と空間の演出,17世紀オランダ 市民社会・商業都市／風俗画・肖像画／経済性と美術,17・18世紀フランス 絶対王権と宮殿建築／美術制度／宮廷文化とラグジュアリーの表現,フランス革命 政治カリカチュア・民衆版画／革命記念建築・公共空間／絵画・彫刻による秩序・英雄象徴,新古典主義 秩序回復・復古趣味／理性礼賛／古典模倣,ロマン主義 国家主義・理性主義への反動／感情・個人・自然への回帰,写実主義 社会主義の台頭／都市化・階級社会への批判／日常生活・労働・都市景観の写実描写,印象派 都市化・光学・写真技術の影響／筆致・色彩の革新／市民社会のテーマ"
イスラム圏の歴史・社会・文化,イスラム圏の歴史・社会・文化,六辻彰二,2,1～4,文理学部,総合教育科目,後期,選択,遠隔授業（オンデマンド型）,授業はオンデマンド形式で行う。毎回、動画URLをCanvas LMSに掲載する。,イスラーム世界の影響力は今後ますます高まるとみられているが、日本ではこれに関する理解が乏しいといわざるを得ない。イスラーム世界のあり方を知ることで、日本や欧米諸国の社会を改めて見つめなおす契機にしたい。本講義ではイスラーム世界の歴史や価値観とともに、そのなかから生まれている過激派の論理についても取り上げ、イスラーム世界の変容について考える。,【ねらい】,講義,講義はオンデマンド形式で行う。,,使用しない,六辻彰二 『イスラム 敵の論理 味方の理由』 さくら舎 2015年,レポート:学期末レポート(70%)、小テスト(30%),質問などはメールで応じるが、以下の点に注意すること。,"導入:全体のガイダンスをして、次回以降に備える。,イスラーム世界の形成（1）ムハンマドの登場：イスラーム世界が誕生した背景やその教義の特徴について取り上げる。,イスラーム世界の形成（2）「アッバース革命」の意味：750年に誕生したアッバース朝がその後のイスラーム世界の形成に及ぼした影響について考える。,イスラーム世界の形成（3）オスマン帝国の盛衰：トルコ人の帝国であるオスマン帝国がイスラーム世界にもたらしたインパクトについて取り上げる。,イスラーム世界の形成（4）アジア、ヨーロッパ、アフリカへの拡大：中東以外の地域にイスラームが伝播した様相を取り上げ、その現代への影響を検討する。,イスラームの伝統的な考え方（1）全ては神のもとに：人間と社会のかかわり方についての理解が、イスラーム世界と近代西洋的なものとでは大きく異なることを説明する。,イスラームの伝統的な考え方（2）イスラームは宗教ではない：イスラームが個人の信仰としてではなく、社会のあり方を規定する規範としてあることを考える。,イスラームの伝統的な考え方（3）異教徒との共存は可能：イスラーム世界における戦争の考え方について取り上げる。,イスラームの伝統的な考え方（4）為政者は信仰に従って統治しなければならない：教義と政治の合一を目指す考え方を検討する。,イスラームの伝統的な考え方（5）ムスリムは助け合わなければならない：「喜捨」が義務としてあることの意味を考える。,イスラーム過激派の論理（1）為政者が信仰に背いている：政教一致を旨とするイスラーム世界における「世直し」の論理を考える。,イスラーム過激派の論理（2）イスラーム世界が一つでなくなっている：国家によって分断されるイスラーム世界のあり方への批判を取り上げる。,イスラーム過激派の論理（3）イスラーム世界が欧米文化に脅かされている：イスラーム的な文化や価値観が衰弱することへの警戒感を取り上げる。,イスラーム過激派の論理（4）聖職者が教義を捻じ曲げている：イスラーム世界における宗教改革として過激派をとらえなおす。,まとめ（A-1-1）（A-3-1）"
情報と社会,情報と社会,毛利康秀,2,1～4,文理学部,総合教育科目,後期,選択,対面授業,対面型授業（Canvas LMSより教材レジメとPowerPoint資料を配信します。）,社会の情報化が高度に進展しつつある現在、情報についての理解を深めていくには、技術的な側面のみならず社会的な視点からのアプローチも不可欠である。この講義では「情報化と社会との関わり」という観点から考察を深めていく。理科系分野と文科系分野の橋渡しになるような内容を目指している。,社会的な視点から「情報」ならびに「情報化」について考えていく。,講義,毎回プリントを配布し、プリントに添って講義形式で進めていく。対面授業が難しい場合は、PowerPoint資料に動画を付加したオンデマンド型授業を実施する予定である。理解度をはかるため、プリントの末尾にて毎回小課題を出す。,受講希望者が多数になる時は抽選を行う。,教科書は特に使用しない。毎回プリントを配布する。,参考となる資料も適宜配布する。授業の理解度を高めるための参考書を適宜紹介することがある。,レポート:試験を兼ねた期末レポートの内容で評価する（１回）(70%)、授業参画度:出席確認を兼ねた毎回の小課題によって参画度をはかる（15回）(30%),授業の前後の時間帯。メールでの質問も歓迎。詳細は初回授業時に説明する。,"授業内容の説明、受講にあたっての注意事項などを説明します。(A-3-1),人間にとって情報とは何か？,社会の情報化とは何か？,情報技術革新の歴史を考える（１）電気を使わない時代の情報通信,情報技術革新の歴史を考える（２）電気通信の発明以降の世界情勢の変化,現代の情報技術の特徴,情報技術の革新と社会の変容,ネットワークと社会構造―ネットワークとは何か,コミュニケーションと社会―コミュニケーションとは何か,メディアと社会―メディアとは何か,マス・メディアとは何か,パーソナル・メディア、ネットワーク・メディアとは何か,情報化社会と知的財産権,情報化社会を生き抜くために,講義内容の整理と解説"
情報とコミュニケーション,情報とコミュニケーション,渡辺勇士,2,1～4,文理学部,総合教育科目,後期,選択,対面授業（一部遠隔授業）,オンデマンド型動画配信を7回含む,私たちの暮らしは「情報」にあふれており、その技術の発展が私たちの暮らしをより便利で豊かなものにしている。この授業では、情報と私たちの暮らしやコミュニケーションの関わりについて、歴史的な経緯を踏まえた上で情報モラルやマナーについて考えるとともに、情報発信者としての責任についても議論する。また最新技術やサービスが与える次世代のコミュニケーションの在り方とともに情報セキュリティについても学修する。,この授業では、情報技術の発展過程や新しい技術および仕組みを知ることで暮らしやコミュニケーションの変化を理解できるようになることを目的とする。そして、情報セキュリティに関する知識と技術の習得のみならず、情報の安全を担う能力と態度を育成する。,講義、演習,・ 授業方法は教員による講義を中心とするが、全15回の授業実施の中で、学生たちが主体的に参加し、議論するワークショップを数回行う。,・ 本授業は教室定員を超える受講希望者がいる場合は抽選をする。抽選は本科目独自に行います。CHIPS等は利用しませんが、教務課で定められた抽選の期日までに初回の授業のオンデマンド授業動画を視聴し、そこで案内される方法で抽選に申し込んでください。,教科書は使用せず、資料はLMSなどで閲覧できるようにする。,必要に応じて授業で紹介する。,レポート:計2回のレポート課題(30%)、授業参画度:毎授業での予習課題・小テスト／小課題(40%)、毎授業での振り返り課題(30%),質問はメールを用いて受付および回答を行う。,"ガイダンス（講義の内容と進め⽅、成績評価など）,情報技術の歴史を考える(1)(A-2-1,A-4-1),情報技術の歴史を考える(2)(A-2-1,A-4-1),情報技術の歴史を考える(3)(A-2-1,A-4-1),情報技術と情報発信を考える (1) (A-3-1, A-4-1),情報技術と情報発信を考える (2)(A-3-1, A-4-1),情報技術と情報発信を考える (3)(A-3-1,A-4-1),情報技術とメディアについて考える(A-3-1),情報技術と生成AIについてを考える(A-4-1),情報の発信者の責任 (1)(A-3-1,A-4-1),情報の発信者の責任 (2)(A-3-1,A-4-1),情報技術とメディアを考える(1)(A-3-1),情報技術とメディアを考える(2)(A-3-1),情報技術と教育を考える(A-3-1),講義内容のまとめ(A-2-1,A-3-1,A-4-1)"
,,渡辺勇士,2,1～4,文理学部,総合教育科目,前期,選択,対面授業（一部遠隔授業）,オンデマンド型動画配信を7回含む,私たちの暮らしは「情報」にあふれており、その技術の発展が私たちの暮らしをより便利で豊かなものにしている。この授業では、情報と私たちの暮らしやコミュニケーションの関わりについて、歴史的な経緯を踏まえた上で情報モラルやマナーについて考えるとともに、情報発信者としての責任についても議論する。また最新技術やサービスが与える次世代のコミュニケーションの在り方とともに情報セキュリティについても学修する。,この授業では、情報技術の発展過程や新しい技術および仕組みを知ることで暮らしやコミュニケーションの変化を理解できるようになることを目的とする。そして、情報セキュリティに関する知識と技術の習得のみならず、情報の安全を担う能力と態度を育成する。,講義、演習,・ 授業方法は教員による講義を中心とするが、全15回の授業実施の中で、学生たちが主体的に参加し、議論するワークショップを数回行う。,・ 本授業は教室定員を超える受講希望者がいる場合は抽選をする。抽選は本科目独自に行います。CHIPS等は利用しませんが、教務課で定められた抽選の期日までに初回の授業のオンデマンド授業動画を視聴し、そこで案内される方法で抽選に申し込んでください。,教科書は使用せず、資料はLMSなどで閲覧できるようにする。,必要に応じて授業で紹介する。,レポート:計2回のレポート課題(30%)、授業参画度:毎授業での予習課題・小テスト／小課題(40%)、毎授業での振り返り課題(30%),質問はメールを用いて受付および回答を行う。,"ガイダンス（講義の内容と進め⽅、成績評価など）,情報技術の歴史を考える(1)(A-2-1,A-4-1),情報技術の歴史を考える(2)(A-2-1,A-4-1),情報技術の歴史を考える(3)(A-2-1,A-4-1),情報技術と情報発信を考える (1) (A-3-1, A-4-1),情報技術と情報発信を考える (2)(A-3-1, A-4-1),情報技術と情報発信を考える (3)(A-3-1,A-4-1),情報技術とメディアについて考える(A-3-1),情報技術と生成AIについてを考える(A-4-1),情報の発信者の責任 (1)(A-3-1,A-4-1),情報の発信者の責任 (2)(A-3-1,A-4-1),情報技術とメディアを考える(1)(A-3-1),情報技術とメディアを考える(2)(A-3-1),情報技術と教育を考える(A-3-1),講義内容のまとめ(A-2-1,A-3-1,A-4-1)"
現代社会を支える科学技術,現代社会を支える科学技術,十代健,2,1～4,文理学部,総合教育科目,前期,選択,対面授業（ハイフレックス型）,基本的に教室での対面授業とそのライブ配信で実施する。１～２回の講義がオンデマンドに変更になる可能性はあるが、その場合は、Canvas LMSなどを経由して事前に告知する。,現代社会は高度な科学技術に基づき便利な世の中が形成されているが、その科学技術を理解するためには、高度な数学・物理学・化学の知識が必要になる。しかし、大部分の社会人が十分な科学リテラシーを身につけておらず、高校までの数学・物理・化学といった学問体系は不十分と言わざるを得ない。本講義では、全く異なるアプローチで高度な社会を生き抜く科学リテラシーを身につけることを目指し、具体的には携帯電話スマートフォンの便利な機能に着目し、その根底にある原理を解説していく。,【授業のねらい】,講義,高度な数学の知識を必要とせず、前提知識が必要な原理については、前提知識の講義の回と、その原理を応用した機能の回と、複数回に分けて丁寧に説明する。教壇において簡単なデモンストレーション実験も行い科学技術に興味をもつようにする。,特になし,使用しない,使用しない,リアクションペーパーやクイズ(100%),講義終了後、対面もしくはZoom経由で質問は受け付ける。,"イントロダクション（携帯電話が科学技術の宝庫であることを知る）および科学リテラシー副専攻の紹介,電波とは（共鳴現象）(A-3-1,A-4-1),交通系ＩＣカードと電磁誘導(A-3-1,A-4-1),原子と周期表(A-5-1),Liイオン電池(A-3-1,A-4-1),フーリエ変換と音声認識(A-3-1,A-4-1),相対性理論(A-5-1),全地球測位システムGPS(A-3-1,A-4-1),暗号技術と素因数分解(A-3-1,A-4-1),機械翻訳(A-3-1,A-4-1),量子力学(A-5-1),ＬＳＩと光リソグラフィー(A-3-1,A-4-1),青色ＬＥＤ(A-3-1,A-4-1),原子力問題(A-3-1,A-4-1),科学技術に対する質問への回答（講義の総括）"
現代社会を支える化学,現代社会を支える化学,藤森裕基，岩堀史靖,2,1～4,文理学部,総合教育科目,後期,選択,対面授業,対面型講義（15回）。,現代社会を支えている化学の一端（原子レベルからの化学基礎，文明生活を支える化学，化学にまつわる熱やエネルギーなど）を紹介し、それらの基礎原理を講義する。,我々の生活を様々な形で取り囲んでいる化学を学び、理解し、説明ができるようになる。,講義、オムニバス,本科目は高大連携教育科目です。,本講義は専門科目ではないため，理系専攻（特に化学科）の学生は本講義以外の科目を受講することを勧めます。,使用しない,なし,レポート:前半部，後半部それぞれでレポートを課す。(80%)、授業参画度:リアクションペーパーの提出を求め，その内容で授業参画度を評価する。(20%),授業終了時、適宜。,"スタートアップ：講義のテーマ・目的を理解できる。講義の到達目標や評価基準について理解できる(A-3-1, A-4-1, A-5-1)。,無機化学（１）：原子の構造、原子核の性質とその周辺知識について学習する(A-3-1, A-4-1, A-5-1)。,無機化学（２）：第２回で学んだ化学を実験的に理解し、それを理論的に説明できるようにする(A-3-1, A-4-1, A-5-1)。,無機化学（３）：酸化還元反応や電位（イオン化列）、それを利用した電池について学習する(A-3-1, A-4-1, A-5-1)。,無機化学（４）：第４回で学んだ化学を実験的に理解し、それを理論的に説明できるようにする(A-3-1, A-4-1, A-5-1)。,有機化学（１）：炭素を中心とした化学の重要性を理解し、説明できるようにする(A-3-1, A-4-1, A-5-1)。,有機化学（２）：分子の組み換え…いくつかの化学反応とその周辺知識について学習する(A-3-1, A-4-1, A-5-1)。,有機化学（３）：第６回で学んだ化学を実験的に理解し、それを理論的に説明できるようにする(A-3-1, A-4-1, A-5-1)。,熱力学の基礎：熱力学の法則について学習する(A-3-1, A-4-1, A-5-1)。,からだのなかの化学：からだは何からできているかを学習する(A-3-1, A-4-1, A-5-1)。,食品の化学：チョコレートの美味しさを化学的に学習する(A-3-1, A-4-1, A-5-1)。,核磁気共鳴（NMR)：化学で重要なNMRについて学習する(A-3-1, A-4-1, A-5-1)。,液晶の化学：液晶物質の性質にいて学習する(A-3-1, A-4-1, A-5-1)。,水と氷：水と氷の特異的な性質について学習する(A-3-1, A-4-1, A-5-1)。,ガラス：世界のガラスについて化学的観点から学習する(A-3-1, A-4-1, A-5-1)。"
原子の世界,原子の世界,川上隆輝,2,1～4,文理学部,総合教育科目,後期,選択,対面授業,,物質を構成する原子（元素）は、陽子数に基づけばわずか 118 種類に過ぎない。しかし、これらの原子の組み合わせ方や配列の違いによって、世の中には多種多様な物質が存在し、それぞれが独自の性質を示す。では、この“物質の多様性”はどこから生じるのだろうか。本講義では、その根源にある物理・化学の基本原理を用いて、物質の性質の起源を探究する。,高校では触れる機会の少ない、原子や分子といった“ミクロの世界”の物理を学び、身のまわりの物質がどのような仕組みで成り立っているのかを理解することを目指します。原子どうしがどのように結びつき、どのようにして固体、液体、気体、さらにはスマートフォンなどの高度な機能材料が生まれるのかを、できるだけ直感的に理解できるように解説します。,講義,－授業の進め方－,本科目は 抽選科目に指定されています。定員を超えた場合は、大学が定める方式に従い CHIPS による抽選を実施します。抽選申請期間や手続き方法の詳細は COMITS2 に掲載されていますので、必ず確認してください。,なし,参考書を必要とする学生は相談してください。,授業内テスト:第15回のときに対面で学期末テストを行う。(30%)、授業参画度:対面での授業に参加し，確認テストの答案を採点して総合的に判断する(70%),授業終了後に質問などを受けつける。（対面の学生は教室で，オンデマンド型の学生はメールで対応する）,"ガイダンス（授業テーマや到達目標および授業の進め方について説明する。残りの時間で授業を行い，授業の雰囲気を知ってもらう）(A-5-1),原子が集合することで生まれる物質の多様性について講義する。(A-3-1, A-4-1, A-5-1)【対面授業】,マクロの世界とミクロの世界について講義する。(A-3-1, A-4-1, A-5-1),原子核のまわりをまわる電子の軌道について講義する。(A-3-1, A-4-1, A-5-1),原子が磁気を帯びるときはどのようなときかについて講義する。(A-3-1, A-4-1, A-5-1),原子をつなぐ電子の手（共有結合）について講義する。((A-3-1, A-4-1, A-5-1),金属と絶縁体（半導体）の違いについて講義する。(A-3-1, A-4-1, A-5-1),リチウムイオン電池，水素など，これからのエネルギーについて講義する。(A-3-1, A-4-1, A-5-1),金属人工格子について講義する。(A-3-1, A-4-1, A-5-1),トンネル効果と最先端磁気メモリのMRAMについて講義する。(A-3-1, A-4-1, A-5-1),半導体，フラッシュメモリについて講義する。(A-3-1, A-4-1, A-5-1),太陽光発電について講義する。(A-3-1, A-4-1, A-5-1),原子力発電と核融合発電について講義する。(A-3-1, A-4-1, A-5-1),室温で凍る水について講義する。(A-3-1, A-4-1, A-5-1),放射線について講義する。その後，学期末テストを行いフィードバックする。(A-3-1, A-4-1, A-5-1)"
生活の中の数学,宇宙を理解する,松土恵理,2,1～4,文理学部,総合教育科目,後期,選択,対面授業,,身近なものや現象を数学的に分析する．またその分析を通して，数学の考え方を理解する．,＜授業のねらい・到達目標＞,講義,➀対面授業にて授業の解説を行う．,,教科書は用いない．参考文献は必要に応じて紹介する．,使用しない,レポート(50%)、授業参画度(50%),メールまたはCanvas（随時）,"授業概要の説明を行う．,［四色定理］四色定理について学ぶ．(A-3,A-4),二色定理について学ぶ．(A-3,A-4),［四色定理］五色定理について学ぶ．(A-3,A-4),［四色定理］五色定理について学ぶ．(A-3,A-4),［身近な数学］生活の中の数学を探してみる(A-3,A-4),［折り紙］折り紙の歴史，平坦折り(A-3,A-4),［折り紙］等分法(A-3,A-4),［折り紙］折り鶴(A-3,A-4),［折り紙］剛体折り紙・初等数学における折り紙(A-3,A-4),［だまし絵］だまし絵と錯視(A-3,A-4),［だまし絵］不可能物体(A-3,A-4),［だまし絵］不可能物体の作り方(A-3,A-4),［だまし絵］エッシャーと錯視(A-3,A-4),まとめ（これまでの講義内容を振り返り，授業内容の理解を含める）"
数学を楽しむ,数学を楽しむ,松土恵理,2,1～4,文理学部,総合教育科目,前期,選択,対面授業,,本講義では主に「トポロジー」「多面体」「結び目理論」を扱う．これらに対して証明や計算力などの数学的な側面だけでなく，歴史的背景や文化的な側面についても触れる．数学を身近なものとして「楽しむ」ことに焦点を当て，教養知識の習得を目指す．,＜授業のねらい・到達目標＞,講義,➀対面授業にて授業の解説を行う．,授業開始前にCHIPSによる抽選を行う科目です。,教科書は用いない．参考文献は必要に応じて紹介する．,なし,レポート(50%)、授業参画度(50%),メールまたはCanvas LMS（随時）,"授業概要の説明を行う．,［トポロジー］トポロジーという考え方(A-3,A-4),［トポロジー］トポロジーから見た宇宙(A-3,A-4),［トポロジー］“４次元”の考え方(A-3,A-4),［トポロジー］様々な宇宙のかたち(A-3,A-4),［レポート］自分と数学について考える．(A-3,A-4),［多面体］多面体の定義と分類(A-3,A-4),［多面体］オイラーの多面体公式(A-3,A-4),［多面体］星型多面体(A-3,A-4),［多面体］様々な多面体(A-3,A-4),［結び目］結び目理論とは(A-3,A-4),［結び目］結び目を“解く”(A-3,A-4),［結び目］結び目の３彩色(A-3,A-4),［結び目］結び目のｎ彩色(A-3,A-4),まとめ（これまでの講義内容を振り返り，授業内容の理解を含める）"
心の健康,心の健康,須永範明,2,1～4,文理学部,総合教育科目,後期,選択,対面授業,,本授業のテーマは「心の健康」である。現代に生きる私たちの「心の健康」の現状、「心の健康」におけるさまざまな問題、問題に対する効果的な取り組むについて講義する。本授業では、「心の健康」をウェルビーイング(well-being=よい状態)の観点から捉える。ウェルビーイングは、「幸福」や「健康」を含んだ大きな概念である。つまり、健康であり幸福であるという「よい状態」に至り、それを持続するにはどういう事柄が大切か解説する。本授業の内容の多くは、ポジティブ心理学の領域で行なわれた実証的な研究の成果に基づいており、データに裏付けられている。,本授業のねらいは、心理的健康とウェルビーイング(well-being=よい状態)について学ぶことであり、本学卒業後も永く健康を保ち、自分らしく人生を送る一助とすることである。,講義,本授業では反転授業を行なう。すなわち、授業内容の学習はひとりひとりの受講生が主体的に進め、授業時には主に質疑応答と、理解度を確認する小テストを行なう。授業内容に関する資料とPowerPointで作成した授業動画を授業の1週間前にCanvas LMSに掲載する。資料をダウンロードして読み、授業動画を視聴すること。毎回の授業時には、学習内容のなかで重要な箇所や分かりにくい箇所について解説し、質疑応答を行なう。その後、授業内小テストをCanvas LMS経由で実施し、学習内容の理解度を自己確認する。授業内小テストの達成度はCanvas LMS上で即座にフィールドバックされる。毎回の授業では、解説・質疑応答・授業内小テストの組み合わせを2セットないし3セット行なう。なお、授業で学ぶウェルビーイング改善方法を日常生活の中で実践する課題が3つある。この課題は、ウェルビーイング改善方法をやってみるという体験が目的であり、上手くできるかどうかは問わない。,履修希望者が多い場合は、CHIPSによる抽選を行なうことがある。,教科書は使用しない。学習内容に関する資料は授業の1週間前にCanvas LMSに掲載する。,マーティン・セリグマン（著） 宇野カオリ（監訳） 『ポジティブ心理学の挑戦 “幸福”から“持続的幸福”へ』 ディスカヴァー・トゥエンティワン 2014年 第1版,試験(50%)、授業内テスト:理解度を自己確認するために毎回の授業時に実施する授業内小テスト(30%)、ウェルビーイング改善方法を日常生活の中で実践する課題（3課題）(20%),質問等はメールで問い合わせていただきたい。,"オリエンテーション,現代社会と心理的健康,ストレスとは何か,ストレスのしくみ,青年期のリスク(1) 従来の青年期観とその根拠,青年期のリスク(2) 脳神経科学の青年期研究と新しい青年期観,Well-beingを高める(1):「意志力」を鍛える,働くこととストレス,成人期のリスクとその対処,Well-beingを高める(2):well-beingに関わる要因－経済的要因,Well-beingを高める(3):well-beingに関わる要因－個人の要因,Well-beingを高める(4):「今日のよい出来事」など,Well-beingを高める(5):感謝、親切など,Well-beingを高める(6):ストレスの神話と取り組みの注意点,Well-beingを高める(7):認知的再構成"
心の健康,心の健康,服部卓,2,1～4,文理学部,総合教育科目,前期,選択,対面授業,対面授業形式で講義を中心とする。 配布資料等はあらかじめCANVAS上より配信する,健康の科学Ⅲは心の健康について取り扱います。現代ほどこころの健康について言われるような時代はなかったと思います。文明の発展は同時に私たちの心に大きな負担を強いるようになってきています。それは時として私たちの人生に大きな影響を与えることもあり、様々な対策が行われるようになってきました。自分たちのメンタルヘルスを守るために、まず大切なのは適切な知識を得ることです。この授業では、メンタルヘルスに関して様々な方向から見て行くことで、皆さん自身のメンタルヘルスを考えるきっかけとなってほしいと思っています。,(1)メンタルヘルスに関する正しい知識を身につけ、自分自身のメンタルヘルスを健康に保てるように応用できる力を養う。,講義,（１）授業の形式：【講義】,授業開始前にCHIPSによる抽選を行う科目です。,なし、適宜レジメを配布する,適宜、授業内で紹介してゆく,授業内テスト:第14回に知識の確認を目的に行う。(70%)、授業参画度:授業参画度はオンデマンド教材の視聴状況とワークシートの回答状況による(30%),CANVAS 等に質問（感想）を書き込む掲示板などを用意する。,"オリエンテーション、今を生きるためのメンタルヘルス；こころの健康って何だろう こころの健康に関する概念を整理します。メンタルヘルスについてどのような視点があるか、現在のような困難な中でメンタルヘルスをどう保つかを理解する(A-1),メンタルヘルスとストレス ストレスとはどのようなものかについて学びます(A-2),メンタルヘルスとストレス ストレス・マネージメント ストレスへの様々な対処法を学びます(A-4,5),メンタルヘルスとストレス 考え方とストレス 認知行動療法(A-4,5),メンタルヘルスとその周辺 自己イメージとメンタルヘルス(A-3,5),メンタルヘルスとこころの働き 力動的、人間学的心理学的観点から(A-2,3),メンタルヘルスとこころの働き 行動主義心理学的アプローチ(A-2,3),メンタルヘルスとこころの働き アドラーおよびユング心理学的アプローチをふくめた精神力動的アプローチ(A-3,4),メンタルヘルスとこころの働き ポジティブサイコロジーの果たせる役割(A-2,4),メンタルヘルスとその周辺 心の病とはなにか、心の病にはどのようなものがあるのか(A-3,4),メンタルヘルスに影響するもの 生涯発達心理学から見て（A-2,3）,メンタルヘルスに影響するもの あらためてトラウマについて考える（A-2,5）,メンタルヘルスとその周辺 こころの病の中で発達障害を中心に若者に関連するものについて考える（A-4,5）,試験と解説 ここまでの知識を確認する（A-3,4）,メンタルヘルスとその周辺 芸術活動（絵画、音楽）とメンタルヘルス（A-1,5）"
身体の健康,身体の健康,松本恵,2,1～4,文理学部,総合教育科目,後期,選択,遠隔授業（オンデマンド型）,Canvas LMSに提示されるオンデマンド資料を視聴し、合わせて課題研究を提出してもらいます。,心身の健康のための実践的な食事や運動について科学的根拠を基に最新の方法を解説する。担当教員のスポーツ現場での医療従事者（管理栄養士）としての実務経験やスポーツフード開発に関わった経験を基に、身体の健康について解説する。,①加齢に伴い生活習慣病の発症率も高まってくるが、健康保持、増進のためにはどうあるべきかを理解（A-1-1～2）することができる。,講義,①Canvas LMS上で提示するプリント・ビデオ・標本を用いて自分の身体構造、機能を知ってもらい、運動不足・オーバーカロリーによる問題点など、食と健康についての科学的根拠や最新の情報を解説する。,授業開始前にCHIPSによる抽選を行う科目です。,なし,必要に応じて資料を配布する。,レポート:授業期間に課題として数回と学期末に出題します。(30%)、授業内テスト:授業期間に復習チェックテストを出題します。(50%)、授業参画度:オンデマンド資料の視聴や復習チェックテストで評価します。(20%),Canvas LMS上で対応する。,"ガイダンス（授業のテーマや到達目標及び授業の方法について説明する）（A-1）,食生活と健康の基本（A-1, A-2, A-3）,食べ物の消化吸収 三大栄養素（A-1，A-3，A-4）,食べ物の消化吸収 ビタミン・ミネラル（A-1，A-3，A-4）,消化管の役割 大腸のはたらき（A-1，A-3，A-4）,大腸の健康① 大腸がんについて（A-1，A-3，A-4）,大腸の健康② プレバイオ・プロバイオティクスとは（A-1，A-3，A-4）,運動と消化管機能（A-1，A-3，A-4）,運動と大腸がん（A-1，A-3，A-4）,認知症予防の食生活（A-1，A-3，A-4）,サプリメントと食生活（A-1，A-3，A-4）,メンタルヘルスと食事（A-1，A-3，A-4）,理解度の確認と解説（A-1，A-3，A-4）,これまでの講義内容・フィードバックを確認する。（A-1，A-3，A-4）,最新の健康のための食生活について調べ、計画を立てる。（A-1，A-3，A-4、A-5）"
